tc,sc,time,file,label
26.0,21.0,0.099466917,rectangular_6x6_1-24-1_0.txt,EinExprs (Greedy)
22.0,18.0,0.001332583,rectangular_6x6_1-24-1_0.txt,EinExprs (MF)
38.0,28.0,0.005659,rectangular_6x6_1-32-1_0.txt,CoTenGra
33.0,27.0,0.1574345,rectangular_6x6_1-32-1_0.txt,EinExprs (Greedy)
30.0,25.0,0.001861333,rectangular_6x6_1-32-1_0.txt,EinExprs (MF)
44.0,35.0,0.00796125,rectangular_7x7_1-32-1_0.txt,CoTenGra
44.0,34.0,0.26661875,rectangular_7x7_1-32-1_0.txt,EinExprs (Greedy)
40.0,30.0,0.002755459,rectangular_7x7_1-32-1_0.txt,EinExprs (MF)
59.0,47.00000000000001,0.0098875,rectangular_7x7_1-40-1_0.txt,CoTenGra
76.0,69.0,0.403210416,rectangular_7x7_1-40-1_0.txt,EinExprs (Greedy)
51.0,41.0,0.0037195,rectangular_7x7_1-40-1_0.txt,EinExprs (MF)
67.0,54.0,0.01160875,rectangular_7x7_1-48-1_0.txt,CoTenGra
94.0,94.0,0.541113667,rectangular_7x7_1-48-1_0.txt,EinExprs (Greedy)
59.0,53.0,0.004690375,rectangular_7x7_1-48-1_0.txt,EinExprs (MF)
35.0,28.0,0.008160917,rectangular_8x8_1-24-1_0.txt,CoTenGra
36.0,30.0,0.277550792,rectangular_8x8_1-24-1_0.txt,EinExprs (Greedy)
32.0,27.0,0.002610875,rectangular_8x8_1-24-1_0.txt,EinExprs (MF)
51.0,42.0,0.010841208,rectangular_8x8_1-32-1_0.txt,CoTenGra
56.0,43.0,0.455931875,rectangular_8x8_1-32-1_0.txt,EinExprs (Greedy)
45.0,39.0,0.003749833,rectangular_8x8_1-32-1_0.txt,EinExprs (MF)
73.0,53.0,0.01311375,rectangular_8x8_1-40-1_0.txt,CoTenGra
84.0,97.0,0.663450667,rectangular_8x8_1-40-1_0.txt,EinExprs (Greedy)
60.0,46.0,0.005112667,rectangular_8x8_1-40-1_0.txt,EinExprs (MF)
39.0,30.0,0.009400417,rectangular_8x9_1-24-1_0.txt,CoTenGra
39.0,30.0,0.366261958,rectangular_8x9_1-24-1_0.txt,EinExprs (Greedy)
32.0,28.0,0.002942792,rectangular_8x9_1-24-1_0.txt,EinExprs (MF)
54.0,43.0,0.012724542,rectangular_8x9_1-32-1_0.txt,CoTenGra
54.0,42.0,0.569448,rectangular_8x9_1-32-1_0.txt,EinExprs (Greedy)
46.0,42.0,0.004344458,rectangular_8x9_1-32-1_0.txt,EinExprs (MF)
69.0,54.0,0.01587625,rectangular_8x9_1-40-1_0.txt,CoTenGra
111.0,112.0,0.8877775,rectangular_8x9_1-40-1_0.txt,EinExprs (Greedy)
59.0,50.0,0.006004292,rectangular_8x9_1-40-1_0.txt,EinExprs (MF)
17.0,13.0,0.0055235,rochester_53_10_0_pABC.txt,CoTenGra
16.0,12.0,0.161791209,rochester_53_10_0_pABC.txt,EinExprs (Greedy)
