tc,sc,time,file,label
23.0,20.0,11.907741333,rectangular_6x6_1-24-1_0.txt,CoTenGra
21.0,17.0,4.706712416,rectangular_6x6_1-24-1_0.txt,EinExprs (KaHyPar)
21.0,18.0,0.4565985,rectangular_6x6_1-24-1_0.txt,EinExprs (METIS)
31.0,27.0,24.040183792,rectangular_6x6_1-32-1_0.txt,CoTenGra
27.0,24.0,10.619997375,rectangular_6x6_1-32-1_0.txt,EinExprs (KaHyPar)
28.0,24.0,0.758353541,rectangular_6x6_1-32-1_0.txt,EinExprs (METIS)
39.0,32.0,43.631391791,rectangular_7x7_1-32-1_0.txt,CoTenGra
33.0,30.0,15.992738875,rectangular_7x7_1-32-1_0.txt,EinExprs (KaHyPar)
33.0,28.0,1.154152625,rectangular_7x7_1-32-1_0.txt,EinExprs (METIS)
47.0,38.0,61.831660042,rectangular_7x7_1-40-1_0.txt,CoTenGra
43.0,36.0,24.022850042,rectangular_7x7_1-40-1_0.txt,EinExprs (KaHyPar)
40.0,36.0,1.657251292,rectangular_7x7_1-40-1_0.txt,EinExprs (METIS)
57.0,50.0,39.509469708,rectangular_7x7_1-48-1_0.txt,CoTenGra
51.0,45.0,31.079446625,rectangular_7x7_1-48-1_0.txt,EinExprs (KaHyPar)
49.0,43.0,2.282210584,rectangular_7x7_1-48-1_0.txt,EinExprs (METIS)
33.0,27.0,59.805770291,rectangular_8x8_1-24-1_0.txt,CoTenGra
28.0,25.0,14.234249625,rectangular_8x8_1-24-1_0.txt,EinExprs (KaHyPar)
29.0,25.0,1.033433125,rectangular_8x8_1-24-1_0.txt,EinExprs (METIS)
45.0,34.0,37.248532834,rectangular_8x8_1-32-1_0.txt,CoTenGra
38.0,34.0,25.233679083,rectangular_8x8_1-32-1_0.txt,EinExprs (KaHyPar)
37.0,33.0,1.688566667,rectangular_8x8_1-32-1_0.txt,EinExprs (METIS)
56.0,45.0,97.377749417,rectangular_8x8_1-40-1_0.txt,CoTenGra
48.0,41.0,33.672069792,rectangular_8x8_1-40-1_0.txt,EinExprs (KaHyPar)
47.0,41.0,2.778207792,rectangular_8x8_1-40-1_0.txt,EinExprs (METIS)
32.0,26.0,40.169836459,rectangular_8x9_1-24-1_0.txt,CoTenGra
30.0,26.0,16.630385709,rectangular_8x9_1-24-1_0.txt,EinExprs (KaHyPar)
30.0,26.0,1.210491875,rectangular_8x9_1-24-1_0.txt,EinExprs (METIS)
43.0,34.0,75.858080292,rectangular_8x9_1-32-1_0.txt,CoTenGra
40.0,34.0,28.454525292,rectangular_8x9_1-32-1_0.txt,EinExprs (KaHyPar)
36.0,34.0,1.911971291,rectangular_8x9_1-32-1_0.txt,EinExprs (METIS)
53.0,47.00000000000001,103.428173709,rectangular_8x9_1-40-1_0.txt,CoTenGra
51.0,44.0,38.704377917,rectangular_8x9_1-40-1_0.txt,EinExprs (KaHyPar)
47.0,43.0,2.8290235,rectangular_8x9_1-40-1_0.txt,EinExprs (METIS)
15.0,11.0,10.108938417,rochester_53_10_0_pABC.txt,CoTenGra
15.0,12.0,8.31662725,rochester_53_10_0_pABC.txt,EinExprs (KaHyPar)
15.0,12.0,0.624822334,rochester_53_10_0_pABC.txt,EinExprs (METIS)
19.0,14.0,10.891260708,rochester_53_12_0_pABC.txt,CoTenGra
